Description,Test,Project_name,File,Label
"CSSStyleDeclaration
setting ex units to a padding or margin works
","
    var style = new CSSStyleDeclaration();
    style.padding = '1ex';
    expect(style.cssText).toEqual('padding: 1ex;');
    style.margin = '1em';
    style.marginTop = '0.5ex';
    expect(style.marginTop).toEqual('0.5ex');
  
",osbornroxas02/jest-another-RPG,https://github.com/osbornroxas02/jest-another-RPG/blob/master/node_modules/cssstyle/lib/CSSStyleDeclaration.test.js,1
"(key, value)
passes negated when the actual does not match the expected
","
      expect(wrapper.find(User).first()).to.not.have.prop('index', 2)
    
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/prop.test.js,-
"and memoization can be disabled
when not memoized, host resolves to a second value on the seecond call
","
        request(app)
          .get('/proxy/' + firstPort)
          .expect(204)
          .end(function(err) {
            if (err) {
              return done(err);
            }
            request(app)
                .get('/proxy/' + secondPort)
                .expect(200, done);
          });
      
",Puritanic/React-Advanced-Concepts,https://github.com/Puritanic/React-Advanced-Concepts/blob/master/server-side-rendering/server/node_modules/express-http-proxy/test/host.js,1
"(value)
passes negated when the actual does not match the expected
","
      expect(wrapper.find('input')).to.not.have.value('other')
      expect(wrapper.find('textarea')).to.not.have.value('other')
      expect(wrapper.find('select')).to.not.have.value('other')
    
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/value.test.js,-
"CSSStyleDeclaration
top, left, right, bottom properties
","
    var style = new CSSStyleDeclaration();
    style.top = 0;
    style.left = '0%';
    style.right = '5em';
    style.bottom = '12pt';
    expect(style.top).toEqual('0px');
    expect(style.left).toEqual('0%');
    expect(style.right).toEqual('5em');
    expect(style.bottom).toEqual('12pt');
    expect(style.length).toEqual(4);
    expect(style.cssText).toEqual('top: 0px; left: 0%; right: 5em; bottom: 12pt;');
  
",grahamfalconer/jest-setup-refresher,https://github.com/grahamfalconer/jest-setup-refresher/blob/master/node_modules/cssstyle/lib/CSSStyleDeclaration.test.js,-
"onLinksUpdated function
should pass when source default and target diamond ports are opposite ports
","
      jest.useFakeTimers();
      const { component } = setup(false, false);
      const { showWarning, updateLoading, triggerParse } = component.props();
      const instance = component.dive().instance();
      const sourcePort = new DefaultDataPortModel(true, '');
      const targetPort = new DiamondPortModel('top', false, '');
      instance.onLinksUpdated({
        link: { sourcePort, targetPort }
      });
      expect(showWarning).not.toHaveBeenCalled();
      expect(updateLoading).toHaveBeenCalledWith(true);
      expect(setTimeout).toHaveBeenCalledWith(
        expect.any(Function),
        expect.any(Number)
      );
      setTimeout.mock.calls[0][0]();
      expect(triggerParse).toHaveBeenCalledWith(expect.any(Object));
    
",Sean2108/LATTE,https://github.com/Sean2108/LATTE/blob/master/test/components/BuildDiagram.spec.js,1
"(name, value)
chains
","
    expect(wrapper).to.have.style('border').equal('1px')
    expect(wrapper.find('span')).to.have.style('color').equal('red')
  
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/style.test.js,0
"secretWord is null
renders spinner when secretWord is null
","
    wrapper = setup(null);
  

    const spinnerComponent = findByTestAttr(wrapper, 'spinner');
    expect(spinnerComponent.exists()).toBe(true);
  
",lmackenzie94/react-testing-udemy,https://github.com/lmackenzie94/react-testing-udemy/blob/master/jotto/src/App.test.js,1
"onLinksUpdated function
should pass when source diamond and target default ports are opposite ports
","
      jest.useFakeTimers();
      const { component } = setup(false, false);
      const { showWarning, updateLoading, triggerParse } = component.props();
      const instance = component.dive().instance();
      const sourcePort = new DiamondPortModel('top', true, '');
      const targetPort = new DefaultDataPortModel(false, '');
      instance.onLinksUpdated({
        link: { sourcePort, targetPort }
      });
      expect(showWarning).not.toHaveBeenCalled();
      expect(updateLoading).toHaveBeenCalledWith(true);
      expect(setTimeout).toHaveBeenCalledWith(
        expect.any(Function),
        expect.any(Number)
      );
      setTimeout.mock.calls[0][0]();
      expect(triggerParse).toHaveBeenCalledWith(expect.any(Object));
    
",Sean2108/LATTE,https://github.com/Sean2108/LATTE/blob/master/test/components/BuildDiagram.spec.js,1
"secretWord is not null
does not render spinner when secretWord is not null
","
    wrapper = setup('party');
  

    const spinnerComponent = findByTestAttr(wrapper, 'spinner');
    expect(spinnerComponent.exists()).toBe(false);
  
",lmackenzie94/react-testing-udemy,https://github.com/lmackenzie94/react-testing-udemy/blob/master/jotto/src/App.test.js,1
"escapeJavaScript()
encodes large unicode characters with the correct padding
","

        var encoded = Hoek.escapeJavaScript(String.fromCharCode(500) + String.fromCharCode(1000));
        expect(encoded).to.equal('\\u0500\\u1000');
        done();
    
",yashnerella/reactJs-basicsJest,https://github.com/yashnerella/reactJs-basicsJest/blob/master/node_modules/hoek/test/escaper.js,1
"middleware compatibility
should convert req.body to a Buffer when reqAsBuffer is set
","
    proxyServer = proxyTarget(12346, 100, proxyRouteFn);
  

    var app = express();
    app.use(bodyParser.json());
    app.use(bodyParser.urlencoded({
      extended: false
    }));
    app.use(proxy('localhost:12346', {
      reqAsBuffer: true
    }));
    request(app)
      .post('/poster')
      .send({
        mypost: 'hello',
        doorknob: 'wrect'
      })
      .expect(function(res) {
        assert.equal(res.body.doorknob, 'wrect');
        assert.equal(res.body.mypost, 'hello');
      })
      .end(done);
  

    proxyServer.close();
  
",Puritanic/React-Advanced-Concepts,https://github.com/Puritanic/React-Advanced-Concepts/blob/master/server-side-rendering/server/node_modules/express-http-proxy/test/middlewareCompatibility.js,1
"HAS_POSITIVE_NUMERIC_VALUE attrs
passes negated when attribute exists but has value `0`
","
        expect(wrapper.find('tr')).to.not.have.attr('rows')
      
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/attr.test.js,1
"authenticate()
errors on an unknown authorization attribute
","

            var req = {
                method: 'GET',
                url: '/resource/4?filter=a',
                host: 'example.com',
                port: 8080,
                authorization: 'Hawk id=""123"", ts=""1353788437"", nonce=""k3j4h2"", x=""3"", mac=""/qwS4UjfVWMcUyW6EEgUH4jlr7T/wuKe3dKijvTvSos="", ext=""hello""'
            };

            Hawk.server.authenticate(req, credentialsFunc, { localtimeOffsetMsec: 1353788437000 - Hawk.utils.now() }, function (err, credentials, artifacts) {

                expect(err).to.exist();
                expect(err.output.payload.message).to.equal('Unknown attribute: x');
                done();
            });
        
",swkane/redux-jest-todo,https://github.com/swkane/redux-jest-todo/blob/master/node_modules/hawk/test/server.js,-
"-------------------------------GET ROUTE-------------------------------
[ GET ] should return an array of students
","
    const response = await request(server).get('/api/students');

    expect(Array.isArray(response.body)).toBe(true);
  
",john2796/Server-Testing-jb,https://github.com/john2796/Server-Testing-jb/blob/master/students/student.test.js,-
"authenticate()
parses a valid authentication header (POST with payload)
","

            var req = {
                method: 'POST',
                url: '/resource/4?filter=a',
                host: 'example.com',
                port: 8080,
                authorization: 'Hawk id=""123456"", ts=""1357926341"", nonce=""1AwuJD"", hash=""qAiXIVv+yjDATneWxZP2YCTa9aHRgQdnH9b3Wc+o3dg="", ext=""some-app-data"", mac=""UeYcj5UoTVaAWXNvJfLVia7kU3VabxCqrccXP8sUGC4=""'
            };

            Hawk.server.authenticate(req, credentialsFunc, { localtimeOffsetMsec: 1357926341000 - Hawk.utils.now() }, function (err, credentials, artifacts) {

                expect(err).to.not.exist();
                expect(credentials.user).to.equal('steve');
                done();
            });
        
",kaxcode/modash-testing,https://github.com/kaxcode/modash-testing/blob/master/node_modules/fsevents/node_modules/hawk/test/server.js,-
"-------------------------------GET ROUTE-------------------------------
[ GET 200 ]should return a status code of 200 upon success
","
    const response = await request(server).get('/api/students');

    expect(response.status).toBe(200);

    done();
  
",john2796/Server-Testing-jb,https://github.com/john2796/Server-Testing-jb/blob/master/students/student.test.js,1
