Description,Test,Project_name,File,Label
"CSSStyleDeclaration
setting ex units to a padding or margin works
","
    var style = new CSSStyleDeclaration();
    style.padding = '1ex';
    expect(style.cssText).toEqual('padding: 1ex;');
    style.margin = '1em';
    style.marginTop = '0.5ex';
    expect(style.marginTop).toEqual('0.5ex');
  
",osbornroxas02/jest-another-RPG,https://github.com/osbornroxas02/jest-another-RPG/blob/master/node_modules/cssstyle/lib/CSSStyleDeclaration.test.js,1
"and memoization can be disabled
when not memoized, host resolves to a second value on the seecond call
","
        request(app)
          .get('/proxy/' + firstPort)
          .expect(204)
          .end(function(err) {
            if (err) {
              return done(err);
            }
            request(app)
                .get('/proxy/' + secondPort)
                .expect(200, done);
          });
      
",Puritanic/React-Advanced-Concepts,https://github.com/Puritanic/React-Advanced-Concepts/blob/master/server-side-rendering/server/node_modules/express-http-proxy/test/host.js,1
"onLinksUpdated function
should pass when source default and target diamond ports are opposite ports
","
      jest.useFakeTimers();
      const { component } = setup(false, false);
      const { showWarning, updateLoading, triggerParse } = component.props();
      const instance = component.dive().instance();
      const sourcePort = new DefaultDataPortModel(true, '');
      const targetPort = new DiamondPortModel('top', false, '');
      instance.onLinksUpdated({
        link: { sourcePort, targetPort }
      });
      expect(showWarning).not.toHaveBeenCalled();
      expect(updateLoading).toHaveBeenCalledWith(true);
      expect(setTimeout).toHaveBeenCalledWith(
        expect.any(Function),
        expect.any(Number)
      );
      setTimeout.mock.calls[0][0]();
      expect(triggerParse).toHaveBeenCalledWith(expect.any(Object));
    
",Sean2108/LATTE,https://github.com/Sean2108/LATTE/blob/master/test/components/BuildDiagram.spec.js,1
"secretWord is null
renders spinner when secretWord is null
","
    wrapper = setup(null);
  

    const spinnerComponent = findByTestAttr(wrapper, 'spinner');
    expect(spinnerComponent.exists()).toBe(true);
  
",lmackenzie94/react-testing-udemy,https://github.com/lmackenzie94/react-testing-udemy/blob/master/jotto/src/App.test.js,1
"onLinksUpdated function
should pass when source diamond and target default ports are opposite ports
","
      jest.useFakeTimers();
      const { component } = setup(false, false);
      const { showWarning, updateLoading, triggerParse } = component.props();
      const instance = component.dive().instance();
      const sourcePort = new DiamondPortModel('top', true, '');
      const targetPort = new DefaultDataPortModel(false, '');
      instance.onLinksUpdated({
        link: { sourcePort, targetPort }
      });
      expect(showWarning).not.toHaveBeenCalled();
      expect(updateLoading).toHaveBeenCalledWith(true);
      expect(setTimeout).toHaveBeenCalledWith(
        expect.any(Function),
        expect.any(Number)
      );
      setTimeout.mock.calls[0][0]();
      expect(triggerParse).toHaveBeenCalledWith(expect.any(Object));
    
",Sean2108/LATTE,https://github.com/Sean2108/LATTE/blob/master/test/components/BuildDiagram.spec.js,1
"secretWord is not null
does not render spinner when secretWord is not null
","
    wrapper = setup('party');
  

    const spinnerComponent = findByTestAttr(wrapper, 'spinner');
    expect(spinnerComponent.exists()).toBe(false);
  
",lmackenzie94/react-testing-udemy,https://github.com/lmackenzie94/react-testing-udemy/blob/master/jotto/src/App.test.js,1
"escapeJavaScript()
encodes large unicode characters with the correct padding
","

        var encoded = Hoek.escapeJavaScript(String.fromCharCode(500) + String.fromCharCode(1000));
        expect(encoded).to.equal('\\u0500\\u1000');
        done();
    
",yashnerella/reactJs-basicsJest,https://github.com/yashnerella/reactJs-basicsJest/blob/master/node_modules/hoek/test/escaper.js,1
"middleware compatibility
should convert req.body to a Buffer when reqAsBuffer is set
","
    proxyServer = proxyTarget(12346, 100, proxyRouteFn);
  

    var app = express();
    app.use(bodyParser.json());
    app.use(bodyParser.urlencoded({
      extended: false
    }));
    app.use(proxy('localhost:12346', {
      reqAsBuffer: true
    }));
    request(app)
      .post('/poster')
      .send({
        mypost: 'hello',
        doorknob: 'wrect'
      })
      .expect(function(res) {
        assert.equal(res.body.doorknob, 'wrect');
        assert.equal(res.body.mypost, 'hello');
      })
      .end(done);
  

    proxyServer.close();
  
",Puritanic/React-Advanced-Concepts,https://github.com/Puritanic/React-Advanced-Concepts/blob/master/server-side-rendering/server/node_modules/express-http-proxy/test/middlewareCompatibility.js,1
"HAS_POSITIVE_NUMERIC_VALUE attrs
passes negated when attribute exists but has value `0`
","
        expect(wrapper.find('tr')).to.not.have.attr('rows')
      
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/attr.test.js,1
"-------------------------------GET ROUTE-------------------------------
[ GET 200 ]should return a status code of 200 upon success
","
    const response = await request(server).get('/api/students');

    expect(response.status).toBe(200);

    done();
  
",john2796/Server-Testing-jb,https://github.com/john2796/Server-Testing-jb/blob/master/students/student.test.js,1
"HAS_POSITIVE_NUMERIC_VALUE attrs
passes when attribute exists with a string value
","
        expect(wrapper.find('tr')).to.have.attr('cols')
      
",xiaoxiaoqian1217/xxq-jest,https://github.com/xiaoxiaoqian1217/xxq-jest/blob/master/node_modules/chai-enzyme/test/attr.test.js,1
"passing connection: keep-alive
sends a Connection: keep-alive header (using options.headers.connection)
","
        send_request({ headers: { connection: 'keep-alive' }}, function(err, resp) {
          resp.body.headers['connection'].should.eql('keep-alive');
          done();
        })
      
",ivansoares90/users-api,https://github.com/ivansoares90/users-api/blob/master/node_modules/jest-haste-map/node_modules/fsevents/node_modules/needle/test/headers_spec.js,1
